,Title,Date,URL
0,"Come eravamo all'Onu, quei discorsi da Berlusconi a Letta",2014-09-25,http://video.repubblica.it/dossier/governo-renzi/come-eravamo-all-onu-quei-discorsi-da-berlusconi-a-letta/178134/176873?ref=search
1,"Milan, Berlusconi: ""Vinciamo se Inzaghi mi ascolta""",2014-09-25,http://www.repubblica.it/sport/calcio/serie-a/milan/2014/09/25/news/berlusconi_inzaghi-96663688/?ref=search
2,"Inter, Thohir incontra Barbara Berlusconi: ""Abbiamo parlato dello stadio""",2014-09-25,http://www.repubblica.it/sport/calcio/serie-a/inter/2014/09/25/news/incontro_thohir_barbara_berlusconi-96666755/?ref=search
3,Berlusconi a finto Zoff: ''Mai definito indegno''. E su Inzaghi: ''Stampa esagera'',2014-09-25,http://video.repubblica.it/sport/berlusconi-a-finto-zoff--mai-definito-indegno--e-su-inzaghi--stampa-esagera/178301/177050?ref=search
4,Berlusconi punge Pippo “Vince se mi ascolta...”,2014-09-26,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/09/26/berlusconi-punge-pippo-vince-se-mi-ascolta56.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
5,“Se Renzi non smette di mangiare pizzette  Berlusconi porta lui e Toti in beauty farm”,2014-09-26,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/09/26/se-renzi-non-smette-di-mangiare-pizzette-berlusconi-porta-lui-e-toti-in-beauty-farm06.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
6,"Ncd, coordinatore Marche perde il posto dopo selfie con Berlusconi",2014-09-26,http://www.repubblica.it/politica/2014/09/26/foto/ncd_coordinatore_marche_fa_selfie_con_berlusconi_e_viene_cacciato_dal_partito-96700581/1/?ref=search
7,Francesca Pascale: ''Io e Silvio siamo la coppia più trasgressiva'',2014-09-26,http://video.repubblica.it/politica/francesca-pascale--io-e-silvio-siamo-la-coppia-piu-trasgressiva/178337/177085?ref=search
8,"I giapponesi intervistano la pasionaria di ""Berlusconi San""",2014-09-26,http://video.repubblica.it/dossier/mediaset-sentenza-cassazione/i-giapponesi-intervistano-la-pasionaria-di-berlusconi-san/178319/177068?ref=search
9,"Forza Italia, fronda di diciotto senatori  Berlusconi tenta l’Ncd",2014-09-27,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/09/27/forza-italia-fronda-di-diciotto-senatori-berlusconi-tenta-lncd13.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
10,“Via per il selfie con Silvio  Quagliariello come Stalin”,2014-09-27,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/09/27/via-per-il-selfie-con-silvio-quagliariello-come-stalin13.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
11,"Bugaro: ""Via per il selfie con Silvio, Quagliariello come Stalin""",2014-09-27,http://www.repubblica.it/politica/2014/09/27/news/bugaro_via_per_il_selfie_con_silvio_quagliariello_come_stalin-96782154/?ref=search
12,"Berlusconi: ""Fi unita altri sono divisi"". Ma Fitto: ""Finora più campagna a Renzi che opposizione""",2014-09-27,http://www.repubblica.it/politica/2014/09/27/news/berlusconi_forza_italia-96786080/?ref=search
13,"Pascale al Gay Village: ""Sì alle unioni civili, anche io e Silvio siamo una coppia di fatto""",2014-09-27,http://roma.repubblica.it/cronaca/2014/09/27/foto/pascale_al_gay_village-96818948/1/?ref=search
14,Pascale: Silvio favorevole alle nozze gay,2014-09-28,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/09/28/pascale-silvio-favorevole-alle-nozze-gay04.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
15,"Milan, Inzaghi: ""Noi offensivi, Berlusconi sarà contento""",2014-09-28,http://www.repubblica.it/sport/calcio/serie-a/milan/2014/09/28/news/inzaghi_dopo_cesena-96863821/?ref=search
16,"Luxuria: ''Diritti gay, la mia telefonata con Berlusconi''",2014-09-28,http://video.repubblica.it/politica/luxuria--diritti-gay-la-mia-telefonata-con-berlusconi/178537/177299?ref=search
17,"Bugaro: ""Via per il selfie con Berlusconi, Quagliariello come Stalin""",2014-09-28,http://www.repubblica.it/politica/2014/09/28/news/bugaro_via_per_il_selfie_con_berlusconi_quagliariello_come_stalin-96954920/?ref=search
18,"Si rivede Noemi Letizia, a tavola con Berlusconi e Francesca",2014-09-30,http://www.repubblica.it/politica/2014/09/30/foto/berlusconi_a_tavola_con_francesca_e_noemi-96976696/1/?ref=search
19,"Licenziamenti dal Pdl, una dipendente scrive a Berlusconi: ""Epurati ex An e alfaniani""",2014-09-30,http://www.repubblica.it/politica/2014/09/30/news/pdl_forza_italia_licenziamenti_dipendenti_berlusconi_an-97000985/?ref=search
20,"Spatuzza: ""Graviano mi fece i nomi di Berlusconi e Dell'Utri""",2014-09-30,http://video.repubblica.it/dossier/trattativa-stato-mafia/spatuzza-graviano-mi-fece-i-nomi-di-berlusconi-e-dell-utri/178736/177498?ref=search
21,E Berlusconi spegne la rivolta in Fi,2014-10-01,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/01/e-berlusconi-spegne-la-rivolta-in-fi02.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
22,"Berlusconi, un compleanno da re. Sulla torta scettro e corona",2014-10-01,http://www.repubblica.it/politica/2014/10/01/foto/berlusconi_un_compleanno_da_re_sulla_torta_scettro_e_corona-97073703/1/?ref=search
23,"FI, Berlusconi attacca Fitto: ""Sei figlio di un vecchio democristiano, vai via""",2014-10-02,http://www.repubblica.it/politica/2014/10/02/news/berlusconi_forza_italia_opposizione-97151992/?ref=search
24,"Pascale superstar, ma che fine ha fatto Silvio?",2014-10-02,http://www.repubblica.it/espresso/2014/10/02/news/pascale_superstar_ma_che_fine_ha_fatto_silvio_-97190106/?ref=search
25,Dieci senatori di Alfano pronti a lasciare l’Ncd  Silvio: “Così decido io se il governo va avanti”,2014-10-03,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/03/dieci-senatori-di-alfano-pronti-a-lasciare-lncd-silvio-cosi-decido-io-se-il-governo-va-avanti12.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
26,"L’ira di Berlusconi contro Fitto “Vattene, figlio di un vecchio Dc”  Lui: “Tu non cacci nessuno”",2014-10-03,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/03/lira-di-berlusconi-contro-fitto-vattene-figlio-di-un-vecchio-dc-lui-tu-non-cacci-nessuno12.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
27,Il piano di Berlusconi “Chiuderò Forza Italia e nasce Forza Silvio”,2014-10-04,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/04/il-piano-di-berlusconi-chiudero-forza-italia-e-nasce-forza-silvio1813.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
28,Il piano di Berlusconi “Chiuderò Forza Italia e nasce Forza Silvio”,2014-10-04,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/04/il-piano-di-berlusconi-chiudero-forza-italia-e-nasce-forza-silvio13.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
29,"Forza Italia nel caos, Berlusconi: ""Non chiude né cambia nome, i debiti li garantisco io""",2014-10-04,http://www.repubblica.it/politica/2014/10/04/news/forza_italia_nel_caos_berlusconi_non_chiude_n_cambia_nome_i_debiti_li_garantisco_io-97313455/?ref=search
