,Year,Word,Frequency,Category
374,1996,pool,4,legal
375,1996,governo,4,politics
376,1996,bossi,4,person
377,1996,mediaset,4,business
378,1996,pds,4,politics
379,1996,rilancia,3,verb
380,1996,guerra,3,person
381,1996,indagato,3,verb
382,1996,ricatto,3,sentiment
383,1996,fatto,3,verb
384,1996,letta,3,business
385,1996,craxi,3,person
386,1996,nuovo,3,other
387,1996,partito,3,sentiment
388,1996,dotti,3,other
389,1996,solo,3,sentiment
390,1997,fini,18,person
391,1997,polo,13,person
392,1997,alema,11,person
393,1997,pds,8,politics
394,1997,paolo,8,person
395,1997,prodi,7,person
396,1997,vertice,6,business
397,1997,solo,6,sentiment
398,1997,tv,5,other
399,1997,giustizia,5,sentiment
400,1997,sfida,5,sentiment
401,1997,pietro,5,person
402,1997,pace,5,sentiment
403,1997,bicamerale,4,politics
404,1997,an,4,person
405,1997,cossiga,4,person
406,1997,processo,4,legal
407,1997,torna,4,sentiment
408,1997,consiglio,4,politics
409,1997,attacco,4,person
410,1997,pool,4,legal
411,1997,pensa,3,verb
412,1997,amico,3,sentiment
413,1997,conferma,3,verb
414,1997,mafia,3,legal
415,1997,ferrara,3,person
416,1997,europa,3,location
417,1997,grande,3,verb
418,1997,centro,3,location
419,1997,dice,3,verb
420,1998,pool,15,legal
421,1998,riforme,13,politics
422,1998,fini,11,person
423,1998,cossiga,9,person
424,1998,ppe,9,politics
425,1998,alema,8,person
426,1998,attacco,7,person
427,1998,lega,7,politics
428,1998,dialogo,7,person
429,1998,prodi,7,person
430,1998,lite,5,sentiment
431,1998,bossi,5,person
432,1998,craxi,5,person
433,1998,giudici,5,other
434,1998,giustizia,5,sentiment
435,1998,tangenti,5,legal
436,1998,chiede,5,verb
437,1998,veltroni,5,politics
438,1998,voti,4,politics
439,1998,alza,4,verb
440,1998,accuse,4,sentiment
441,1998,apre,4,politics
442,1998,capello,4,other
443,1998,milan,4,business
444,1998,paolo,4,person
445,1998,referendum,4,person
446,1998,quirinale,4,politics
447,1998,milano,4,other
448,1998,attacca,4,sentiment
449,1998,governo,4,politics
450,1999,fini,10,person
451,1999,legge,10,legal
452,1999,referendum,9,person
453,1999,polo,9,person
454,1999,iberian,8,business
455,1999,riforme,7,politics
456,1999,craxi,7,person
457,1999,alema,6,person
458,1999,elettorale,6,location
459,1999,premier,6,politics
460,1999,bonino,6,person
461,1999,segni,6,other
462,1999,accordo,6,politics
463,1999,attacca,6,sentiment
464,1999,spot,6,business
465,1999,accusa,6,legal
466,1999,governo,5,politics
467,1999,quirinale,5,politics
468,1999,cossiga,5,person
469,1999,frena,5,person
470,1999,ciampi,5,sentiment
471,1999,veltroni,5,politics
472,1999,rilancia,4,verb
473,1999,giudizio,4,other
474,1999,pool,4,legal
475,1999,ppi,4,politics
476,1999,rilancio,4,verb
477,1999,solo,4,sentiment
478,1999,ds,4,politics
479,1999,basta,3,sentiment
480,2000,solo,18,sentiment
481,2000,bossi,13,person
482,2000,fini,12,person
483,2000,polo,12,person
484,2000,attacca,12,sentiment
485,2000,rutelli,11,person
486,2000,sfida,9,sentiment
487,2000,pietro,9,person
488,2000,alema,9,person
489,2000,amato,9,person
490,2000,governo,9,politics
491,2000,sinistra,8,politics
492,2000,referendum,8,person
493,2000,patto,7,sentiment
494,2000,tv,7,other
495,2000,veltroni,7,politics
496,2000,ciampi,7,sentiment
497,2000,europa,7,location
498,2000,porta,7,politics
499,2000,votare,6,verb
500,2000,elezioni,6,politics
501,2000,storace,6,person
502,2000,mastella,6,person
503,2000,comunisti,5,politics
504,2000,guerra,5,person
505,2000,accusa,5,legal
506,2000,sindaco,5,person
507,2000,mediaset,5,business
508,2000,spot,4,business
509,2000,par,4,
510,2001,governo,23,politics
511,2001,bossi,22,person
512,2001,rutelli,20,person
513,2001,bush,20,person
514,2001,ciampi,18,sentiment
515,2001,solo,17,sentiment
516,2001,vertice,16,business
517,2001,chiede,14,verb
518,2001,attacca,14,sentiment
519,2001,guerra,13,person
520,2001,miliardi,12,other
521,2001,tv,11,other
522,2001,genova,10,location
523,2001,roma,10,other
524,2001,paolo,10,person
525,2001,accusa,10,legal
526,2001,subito,9,legal
527,2001,sinistra,9,politics
528,2001,conflitto,9,sentiment
529,2001,amato,9,person
530,2001,caso,9,sentiment
531,2001,rosso,9,other
532,2001,quirinale,9,politics
533,2001,libro,8,other
534,2001,premier,8,politics
535,2001,polo,8,person
536,2001,incontra,8,person
537,2001,rai,8,business
538,2001,grande,8,verb
539,2001,mediaset,8,business
540,2002,ciampi,31,sentiment
541,2002,vertice,23,business
542,2002,attacca,22,sentiment
543,2002,governo,22,politics
544,2002,solo,18,sentiment
545,2002,bossi,17,person
546,2002,ue,16,sentiment
547,2002,fiat,16,politics
548,2002,frena,15,person
549,2002,piazza,15,other
550,2002,sindacati,15,politics
551,2002,rai,15,business
552,2002,tv,15,other
553,2002,processo,14,legal
554,2002,sfida,13,sentiment
555,2002,casini,13,person
556,2002,caso,12,sentiment
557,2002,giustizia,11,sentiment
558,2002,legge,11,legal
559,2002,giudici,11,other
560,2002,bush,11,person
561,2002,alleati,11,politics
562,2002,tasse,11,politics
563,2002,scrive,10,verb
564,2002,sme,10,politics
565,2002,fini,10,person
566,2002,finanziaria,10,politics
567,2002,roma,10,other
568,2002,cofferati,10,person
569,2002,esteri,9,person
570,2003,sme,25,politics
571,2003,bossi,22,person
572,2003,iraq,18,location
573,2003,bush,17,person
574,2003,attacca,16,sentiment
575,2003,giustizia,15,sentiment
576,2003,ue,15,sentiment
577,2003,processo,15,legal
578,2003,europa,13,location
579,2003,pace,13,sentiment
